seed,shield_enabled,master_mode,success,peak_master_power_w,peak_master_risk,warning_count
0,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
0,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
1,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
1,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
2,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
2,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
3,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
3,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
4,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
4,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
5,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
5,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
6,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
6,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
7,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
7,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
8,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
8,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
9,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
9,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
10,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
10,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
11,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
11,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
12,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
12,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
13,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
13,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
14,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
14,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
15,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
15,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
16,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
16,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
17,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
17,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
18,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
18,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
19,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
19,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
20,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
20,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
21,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
21,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
22,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
22,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
23,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
23,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
24,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
24,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
25,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
25,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
26,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
26,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
27,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
27,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
28,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
28,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
29,True,rl,True,2083.608270001644,2.3314683517128287e-15,1
29,False,rl,True,2083.608270001644,2.3314683517128287e-15,1
