task_id,distance_m,topology_mode,success,first_warning_distance_m,total_replans,warning_count
0,14298.88851724515,full,True,2543.3296564693555,1,1
0,14298.88851724515,no_relay,True,667.8307534561294,1,1
1,12725.330658783841,full,True,,0,0
1,12725.330658783841,no_relay,True,,0,0
2,12049.231169642146,full,True,,0,0
2,12049.231169642146,no_relay,True,,0,0
3,12239.014809055561,full,True,,0,0
3,12239.014809055561,no_relay,True,,0,0
4,14062.990289105894,full,True,,0,0
4,14062.990289105894,no_relay,True,,0,0
5,12395.215337119651,full,True,2614.537842641149,1,1
5,12395.215337119651,no_relay,True,-40.57794435160304,1,1
6,12258.132451041645,full,True,,0,0
6,12258.132451041645,no_relay,True,,0,0
7,12171.747520726667,full,True,,0,0
7,12171.747520726667,no_relay,True,,0,0
8,13125.38448663701,full,True,,0,0
8,13125.38448663701,no_relay,True,,0,0
9,13410.386302947541,full,True,541.8238040363597,1,1
9,13410.386302947541,no_relay,True,541.8238040363597,1,1
10,12548.201212203481,full,True,,0,0
10,12548.201212203481,no_relay,True,,0,0
11,12416.029960279502,full,True,,0,0
11,12416.029960279502,no_relay,True,,0,0
12,13429.132511834241,full,True,,0,0
12,13429.132511834241,no_relay,True,,0,0
13,12314.254201172938,full,True,2214.562109541994,1,1
13,12314.254201172938,no_relay,True,579.5433525678554,1,1
14,12696.56901176417,full,True,,0,0
14,12696.56901176417,no_relay,True,,0,0
15,12953.368383867555,full,True,2562.634811850048,1,1
15,12953.368383867555,no_relay,True,374.0183940030365,1,1
16,12117.710560856061,full,True,2428.253809145836,1,1
16,12117.710560856061,no_relay,True,-59.61893825144193,1,1
17,13941.580765336128,full,True,,0,0
17,13941.580765336128,no_relay,True,,0,0
18,12275.629676889666,full,True,,0,0
18,12275.629676889666,no_relay,True,,0,0
19,12371.12149060513,full,True,,0,0
19,12371.12149060513,no_relay,True,,0,0
20,12646.834975573773,full,True,,0,0
20,12646.834975573773,no_relay,True,,0,0
21,12616.650747315884,full,True,,0,0
21,12616.650747315884,no_relay,True,,0,0
22,13003.915664572385,full,True,,0,0
22,13003.915664572385,no_relay,True,,0,0
23,12715.730202214294,full,True,,0,0
23,12715.730202214294,no_relay,True,,0,0
24,12326.139992321356,full,True,449.1999129235651,2,2
24,12326.139992321356,no_relay,True,65.54216001219629,1,1
25,14104.567463008607,full,True,,0,0
25,14104.567463008607,no_relay,True,,0,0
26,12554.740617478368,full,True,73.91039498981263,2,2
26,12554.740617478368,no_relay,True,73.91039498981263,2,2
27,12304.586679766559,full,True,,0,0
27,12304.586679766559,no_relay,True,,0,0
28,13549.295880573656,full,True,2031.541930061409,2,2
28,13549.295880573656,no_relay,True,1336.3362485826115,1,1
29,13223.826993871065,full,True,1984.4728531909705,2,2
29,13223.826993871065,no_relay,True,-740.1455148415278,1,1
30,13526.038576668105,full,True,,0,0
30,13526.038576668105,no_relay,True,,0,0
31,12160.043197243333,full,True,,0,0
31,12160.043197243333,no_relay,True,,0,0
32,12268.040746177387,full,True,,0,0
32,12268.040746177387,no_relay,True,,0,0
33,12208.96341021788,full,True,2268.2108943731364,1,1
33,12208.96341021788,no_relay,True,1851.7293639013355,1,1
34,12058.870479123192,full,True,,0,0
34,12058.870479123192,no_relay,True,,0,0
35,13151.039580362169,full,True,,0,0
35,13151.039580362169,no_relay,True,,0,0
36,13975.61938754437,full,True,,0,0
36,13975.61938754437,no_relay,True,,0,0
37,13887.475424363187,full,True,600.0575340485732,1,1
37,13887.475424363187,no_relay,True,600.0575340485732,1,1
38,13258.947874474638,full,True,,0,0
38,13258.947874474638,no_relay,True,,0,0
39,12686.69082701405,full,True,,0,0
39,12686.69082701405,no_relay,True,,0,0
40,12626.662872626142,full,False,,0,0
40,12626.662872626142,no_relay,False,,0,0
41,12040.162226897808,full,True,,0,0
41,12040.162226897808,no_relay,True,,0,0
42,13643.590202385303,full,True,,0,0
42,13643.590202385303,no_relay,True,,0,0
43,13316.490838597034,full,True,,0,0
43,13316.490838597034,no_relay,True,,0,0
44,13391.947866288523,full,True,,0,0
44,13391.947866288523,no_relay,True,,0,0
45,12620.283692889461,full,True,,0,0
45,12620.283692889461,no_relay,True,,0,0
46,14269.381863541286,full,True,,0,0
46,14269.381863541286,no_relay,True,,0,0
47,12024.601370326473,full,True,,0,0
47,12024.601370326473,no_relay,True,,0,0
48,12093.389824532554,full,True,,0,0
48,12093.389824532554,no_relay,True,,0,0
49,12072.792004776431,full,True,2417.7180037022563,1,1
49,12072.792004776431,no_relay,True,667.5794285894524,1,1
