parameter_name,parameter_value,mean_wind_speed,std_wind_speed,peak_wind_speed,mean_tke,peak_tke,mean_risk,peak_risk,high_risk_ratio
alpha,0.0,4.56933526172574,0.6390504662165981,8.068115068541893,0.2156301300102305,1.4036129410356477,0.0,0.0,0.0
alpha,7.5,5.099558984902781,2.1232864085134167,15.98359368250921,0.3240055955882523,3.9029123809308084,0.0,0.0,0.0
alpha,15.0,6.916572061564002,3.7229796850673282,32.41811888007905,0.7507341603277368,17.416459898918514,5.543575834728494e-09,0.00011864620170876083,0.0007222222222222222
alpha,22.5,9.267106618460309,5.341315010296845,39.655134434388444,1.6605195031200717,60.257089218399095,9.851088944126274e-05,0.3408807559812187,0.019155555555555554
alpha,30.0,11.790490987001592,6.8722230590959335,42.42640687119285,3.2402545857373135,123.94954487169332,0.0021933166956681883,0.8991905088016023,0.0608
beta,0.0,6.876425627868105,3.7095706716106522,31.904582183601594,0.7356917204796679,15.351287009600835,4.208037799935394e-09,2.531403378780439e-05,0.0006333333333333333
beta,1.5,6.8875075699841615,3.709624229806329,32.12840828749762,0.7406750207196879,16.237041824021134,4.256821580055852e-09,5.152436660593729e-05,0.0006444444444444444
beta,3.0,6.916572061564002,3.7229796850673282,32.41811888007905,0.7507341603277368,17.416459898918514,5.543575834728494e-09,0.00011864620170876083,0.0007222222222222222
beta,4.5,6.963123122428584,3.7499977947999903,32.771966712642744,0.7660485024908865,18.908038133433784,9.570853942535922e-09,0.0002935172614639825,0.0008555555555555556
beta,6.0,7.026294907636881,3.7913471361099766,33.187900363882996,0.786872182853003,20.733685433318485,2.1394922477180334e-08,0.0007447765736687817,0.0011
